class_name,breadth,ancestor_count,max_depth,ancestors
refType,25,41,11,"affirmation, annotation, assessor, claim, component, componentData, componentEvidence, composition, considerations, credits, dataGovernance, declarations, declarationsEvidence, definitions, dependency, energyConsumption, energyProvider, environmentalConsiderations, evidenceData, evidenceOccurrence, formula, governanceParty, inlineDataInformation, level, metadata, modelCard, modelParameters, organizationAddress, organizationalContact, organizationalEntity, requirement, service, signatory, standard, targets, task, tools, trigger, vulnerability, workflow, workspace"
property,17,25,8,"annotation, component, considerations, declarations, definitions, energyConsumption, environmentalConsiderations, event, formula, inlineDataInformation, io, metadata, modelCard, modelParameters, releaseNotes, requirement, service, standard, targets, task, tools, trigger, vulnerability, workflow, workspace"
signature,12,18,4,"affirmation, annotation, attestation, claim, component, composition, declarations, declarationsEvidence, definitions, formula, metadata, service, signatory, signature, standard, targets, tools, vulnerability"
organizationalEntity,10,25,9,"affirmation, annotation, assessor, component, componentData, considerations, credits, dataGovernance, declarations, declarationsEvidence, energyConsumption, energyProvider, environmentalConsiderations, evidenceData, formula, governanceParty, inlineDataInformation, metadata, modelCard, modelParameters, service, signatory, targets, tools, vulnerability"
attachmentText,10,31,9,"annotation, component, componentData, componentEvidence, declarations, declarationsEvidence, event, evidenceData, formula, graphic, graphicsCollection, inlineDataInformation, io, license, licenseChoice, metadata, modelCard, modelParameters, note, patch, proofOfConcept, quantitativeAnalysis, releaseNotes, service, swid, targets, task, tools, trigger, vulnerability, workflow"
externalReference,8,22,9,"affirmation, annotation, claim, component, considerations, declarations, definitions, energyConsumption, energyProvider, environmentalConsiderations, formula, metadata, modelCard, requirement, service, signatory, standard, targets, tool, tools, toolsLegacy, vulnerability"
organizationalContact,7,26,10,"affirmation, annotation, assessor, component, componentData, considerations, credits, dataGovernance, declarations, declarationsEvidence, energyConsumption, energyProvider, environmentalConsiderations, evidenceData, formula, governanceParty, inlineDataInformation, metadata, modelCard, modelParameters, organizationalEntity, service, signatory, targets, tools, vulnerability"
version,6,15,5,"affect, annotation, component, declarations, definitions, formula, metadata, service, standard, swid, targets, tool, tools, toolsLegacy, vulnerability"
resourceReferenceChoice,6,7,6,"event, formula, io, task, trigger, workflow, workspace"
component,6,8,3,"annotation, component, declarations, formula, metadata, targets, tools, vulnerability"
service,5,8,3,"annotation, declarations, formula, metadata, service, targets, tools, vulnerability"
bomLinkElement,4,31,10,"affirmation, annotation, claim, component, composition, considerations, declarations, definitions, energyConsumption, energyProvider, environmentalConsiderations, event, externalReference, formula, io, metadata, modelCard, requirement, resourceReferenceChoice, service, signatory, standard, targets, task, tool, tools, toolsLegacy, trigger, vulnerability, workflow, workspace"
licenseChoice,4,10,5,"annotation, component, componentEvidence, declarations, formula, metadata, service, targets, tools, vulnerability"
ref,3,10,7,"annotation, composition, event, formula, io, resourceReferenceChoice, task, trigger, workflow, workspace"
io,3,4,5,"formula, task, trigger, workflow"
dataGovernance,3,14,7,"annotation, component, componentData, declarations, declarationsEvidence, evidenceData, formula, inlineDataInformation, metadata, modelCard, modelParameters, targets, tools, vulnerability"
graphicsCollection,3,13,7,"annotation, component, componentData, declarations, formula, inlineDataInformation, metadata, modelCard, modelParameters, quantitativeAnalysis, targets, tools, vulnerability"
hash,3,23,10,"affirmation, annotation, claim, component, considerations, declarations, definitions, energyConsumption, energyProvider, environmentalConsiderations, externalReference, formula, metadata, modelCard, requirement, service, signatory, standard, targets, tool, tools, toolsLegacy, vulnerability"
vulnerabilitySource,3,3,3,"rating, vulnerability, vulnerabilityReference"
step,2,3,4,"formula, task, workflow"
releaseNotes,2,9,4,"annotation, component, declarations, formula, metadata, service, targets, tools, vulnerability"
issue,2,11,5,"annotation, component, declarations, formula, metadata, patch, releaseNotes, service, targets, tools, vulnerability"
energyMeasure,2,13,9,"annotation, component, considerations, declarations, energyConsumption, energyProvider, environmentalConsiderations, formula, metadata, modelCard, targets, tools, vulnerability"
dependency,2,3,4,"formula, task, workflow"
trigger,2,3,4,"formula, task, workflow"
toolsLegacy,2,2,2,"metadata, vulnerability"
tools,2,2,2,"metadata, vulnerability"
workspace,2,3,4,"formula, task, workflow"
patch,1,8,4,"annotation, component, declarations, formula, metadata, targets, tools, vulnerability"
license,1,11,6,"annotation, component, componentEvidence, declarations, formula, licenseChoice, metadata, service, targets, tools, vulnerability"
lifecycle,1,1,2,metadata
organizationAddress,1,26,10,"affirmation, annotation, assessor, component, componentData, considerations, credits, dataGovernance, declarations, declarationsEvidence, energyConsumption, energyProvider, environmentalConsiderations, evidenceData, formula, governanceParty, inlineDataInformation, metadata, modelCard, modelParameters, organizationalEntity, service, signatory, targets, tools, vulnerability"
note,1,10,5,"annotation, component, declarations, formula, metadata, releaseNotes, service, targets, tools, vulnerability"
level,1,2,3,"definitions, standard"
mapItem,1,2,3,"attestation, declarations"
modelParameters,1,9,5,"annotation, component, declarations, formula, metadata, modelCard, targets, tools, vulnerability"
modelCard,1,8,4,"annotation, component, declarations, formula, metadata, targets, tools, vulnerability"
requirement,1,2,3,"definitions, standard"
performanceMetric,1,10,6,"annotation, component, declarations, formula, metadata, modelCard, quantitativeAnalysis, targets, tools, vulnerability"
swid,1,8,4,"annotation, component, declarations, formula, metadata, targets, tools, vulnerability"
workflow,1,1,2,formula
vulnerabilityReference,1,1,2,vulnerability
tool,1,3,3,"metadata, toolsLegacy, vulnerability"
task,1,2,3,"formula, workflow"
targets,1,1,2,declarations
tags,1,8,4,"annotation, component, declarations, formula, metadata, targets, tools, vulnerability"
standard,1,1,2,definitions
proofOfConcept,1,1,2,vulnerability
signatory,1,2,3,"affirmation, declarations"
severity,1,2,3,"rating, vulnerability"
securedBy,1,8,4,"annotation, component, declarations, formula, metadata, targets, tools, vulnerability"
scoreMethod,1,2,3,"rating, vulnerability"
rating,1,1,2,vulnerability
quantitativeAnalysis,1,9,5,"annotation, component, declarations, formula, metadata, modelCard, targets, tools, vulnerability"
ioParameter,1,10,6,"annotation, component, declarations, formula, metadata, modelCard, modelParameters, targets, tools, vulnerability"
advisory,1,1,2,vulnerability
inlineDataInformation,1,10,6,"annotation, component, declarations, formula, metadata, modelCard, modelParameters, targets, tools, vulnerability"
commit,1,8,4,"annotation, component, declarations, formula, metadata, targets, tools, vulnerability"
credits,1,1,2,vulnerability
copyright,1,9,5,"annotation, component, componentEvidence, declarations, formula, metadata, targets, tools, vulnerability"
considerations,1,9,5,"annotation, component, declarations, formula, metadata, modelCard, targets, tools, vulnerability"
conformance,1,3,4,"attestation, declarations, mapItem"
confidenceInterval,1,11,7,"annotation, component, declarations, formula, metadata, modelCard, performanceMetric, quantitativeAnalysis, targets, tools, vulnerability"
confidence,1,3,4,"attestation, declarations, mapItem"
componentEvidence,1,8,4,"annotation, component, declarations, formula, metadata, targets, tools, vulnerability"
componentData,1,8,4,"annotation, component, declarations, formula, metadata, targets, tools, vulnerability"
co2Measure,1,12,8,"annotation, component, considerations, declarations, energyConsumption, environmentalConsiderations, formula, metadata, modelCard, targets, tools, vulnerability"
impactAnalysis,1,1,2,vulnerability
claim,1,1,2,declarations
cipherSuite,1,8,4,"annotation, component, declarations, formula, metadata, targets, tools, vulnerability"
callstackFrame,1,9,5,"annotation, component, componentEvidence, declarations, formula, metadata, targets, tools, vulnerability"
attestation,1,1,2,declarations
assessor,1,1,2,declarations
approach,1,10,6,"annotation, component, declarations, formula, metadata, modelCard, modelParameters, targets, tools, vulnerability"
affirmation,1,1,2,declarations
affectedStatus,1,2,3,"affect, vulnerability"
dataClassification,1,8,4,"annotation, declarations, formula, metadata, service, targets, tools, vulnerability"
dataReference,1,10,6,"annotation, component, declarations, formula, metadata, modelCard, modelParameters, targets, tools, vulnerability"
fairnessAssessment,1,10,6,"annotation, component, considerations, declarations, formula, metadata, modelCard, targets, tools, vulnerability"
evidenceOccurrence,1,9,5,"annotation, component, componentEvidence, declarations, formula, metadata, targets, tools, vulnerability"
ikev2TransformTypes,1,8,4,"annotation, component, declarations, formula, metadata, targets, tools, vulnerability"
affect,1,1,2,vulnerability
identifiableAction,1,9,5,"annotation, commit, component, declarations, formula, metadata, targets, tools, vulnerability"
hash-content,1,24,11,"affirmation, annotation, claim, component, considerations, declarations, definitions, energyConsumption, energyProvider, environmentalConsiderations, externalReference, formula, hash, metadata, modelCard, requirement, service, signatory, standard, targets, tool, tools, toolsLegacy, vulnerability"
hash-alg,1,24,11,"affirmation, annotation, claim, component, considerations, declarations, definitions, energyConsumption, energyProvider, environmentalConsiderations, externalReference, formula, hash, metadata, modelCard, requirement, service, signatory, standard, targets, tool, tools, toolsLegacy, vulnerability"
graphic,1,14,8,"annotation, component, componentData, declarations, formula, graphicsCollection, inlineDataInformation, metadata, modelCard, modelParameters, quantitativeAnalysis, targets, tools, vulnerability"
governanceParty,1,15,8,"annotation, component, componentData, dataGovernance, declarations, declarationsEvidence, evidenceData, formula, inlineDataInformation, metadata, modelCard, modelParameters, targets, tools, vulnerability"
declarationsEvidence,1,1,2,declarations
identityEvidence,1,9,5,"annotation, component, componentEvidence, declarations, formula, metadata, targets, tools, vulnerability"
evidenceMethod,1,10,6,"annotation, component, componentEvidence, declarations, formula, identityEvidence, metadata, targets, tools, vulnerability"
evidenceData,1,2,3,"declarations, declarationsEvidence"
event,1,4,5,"formula, task, trigger, workflow"
ethicalConsideration,1,10,6,"annotation, component, considerations, declarations, formula, metadata, modelCard, targets, tools, vulnerability"
environmentalConsiderations,1,10,6,"annotation, component, considerations, declarations, formula, metadata, modelCard, targets, tools, vulnerability"
energyProvider,1,12,8,"annotation, component, considerations, declarations, energyConsumption, environmentalConsiderations, formula, metadata, modelCard, targets, tools, vulnerability"
energyConsumption,1,11,7,"annotation, component, considerations, declarations, environmentalConsiderations, formula, metadata, modelCard, targets, tools, vulnerability"
composition,0,0,1,
formula,0,0,1,
metadata,0,0,1,
vulnerability,0,0,1,
annotation,0,0,1,
definitions,0,0,1,
declarations,0,0,1,
